Severity,Start_Lat,Start_Lng,City,County,State,Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Year,Month,Day,Hour,Day_of_Week
1,36.791225,-119.784279,Fresno,Fresno,CA,US/Pacific,111.0,13.0,29.47,10.0,W,12.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,7,9,16,Saturday
2,47.601692,-122.306343,Seattle,King,WA,US/Pacific,60.1,57.0,30.18,10.0,West,4.6,Clear,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,2017,4,10,11,Monday
2,34.044521,-81.117477,Columbia,Lexington,SC,US/Eastern,60.0,62.0,29.93,10.0,N,8.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,2022,11,5,7,Saturday
2,45.012287,-93.006599,Saint Paul,Ramsey,MN,US/Central,8.0,55.0,29.57,10.0,WSW,16.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,9,2,13,Thursday
2,40.79871,-74.189888,Bloomfield,Essex,NJ,US/Eastern,91.0,34.0,30.16,10.0,ESE,8.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,6,28,10,Friday
4,28.154312,-81.846458,Polk City,Polk,FL,US/Eastern,80.1,85.0,30.1,8.0,NE,10.4,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2016,5,9,16,Monday
2,30.16881,-97.78476,Austin,Travis,TX,US/Central,59.0,93.0,29.53,5.0,CALM,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,4,27,7,Monday
2,32.183613,-110.956322,Tucson,Pima,AZ,US/Mountain,53.1,16.0,30.29,10.0,East,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2018,12,11,20,Tuesday
2,31.756432,-106.489738,El Paso,El Paso,TX,US/Mountain,95.0,21.0,29.74,10.0,SW,8.1,Partly Cloudy,True,False,True,False,False,False,True,False,True,False,False,True,False,Day,2018,8,14,14,Tuesday
2,39.579784,-74.457375,Tuckerton,Burlington,NJ,US/Eastern,65.0,97.0,29.65,10.0,N,12.0,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,2021,6,22,14,Tuesday
2,35.011509000000004,-81.911377,Spartanburg,Spartanburg,SC,US/Eastern,68.0,83.0,29.06,10.0,N,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2022,8,23,6,Tuesday
2,47.440666,-122.217583,Renton,King,WA,US/Pacific,60.1,60.0,30.19,10.0,NW,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,4,10,11,Monday
2,46.010384,-92.93222,Hinckley,Pine,MN,US/Central,7.0,52.0,29.42,10.0,CALM,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2021,1,27,17,Wednesday
2,30.307728000000004,-97.726524,Austin,Travis,TX,US/Central,78.1,35.0,29.77,10.0,South,6.9,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,2017,4,27,12,Thursday
3,39.456989,-76.310097,Abingdon,Harford,MD,US/Eastern,66.2,88.0,30.17,7.0,SE,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2016,7,10,22,Sunday
3,43.002186,-78.414703,Corfu,Genesee,NY,US/Eastern,87.1,48.0,29.97,10.0,WSW,8.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,9,26,13,Tuesday
3,40.350243,-111.769371,Pleasant Grove,Utah,UT,US/Mountain,81.0,34.0,25.56,10.0,S,3.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,2022,7,13,8,Wednesday
3,39.481026,-86.013412,Franklin,Johnson,IN,US/Eastern,50.0,58.0,29.46,10.0,SSW,8.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2018,3,11,12,Sunday
2,33.395653,-81.801643,Aiken,Aiken,SC,US/Eastern,66.2,64.0,29.85,10.0,South,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2017,7,2,19,Sunday
2,34.267193,-118.636604,Simi Valley,Ventura,CA,US/Pacific,63.0,25.0,29.2,10.0,N,8.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,10,15,7,Friday
3,34.027462,-118.455757,Santa Monica,Los Angeles,CA,US/Pacific,59.0,78.0,29.89,10.0,South,4.6,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2018,5,22,0,Tuesday
2,29.577793,-98.644432,San Antonio,Bexar,TX,US/Central,84.0,67.0,29.14,10.0,S,13.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,10,8,10,Tuesday
2,36.949432,-121.851128,Watsonville,Santa Cruz,CA,US/Pacific,59.0,90.0,29.95,10.0,WSW,3.5,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,2018,8,24,21,Friday
2,28.49197,-82.488678,Spring Hill,Hernando,FL,US/Eastern,29.0,64.0,30.07,10.0,WNW,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,2020,1,22,8,Wednesday
2,35.318531,-80.7789,Charlotte,Mecklenburg,NC,US/Eastern,55.0,38.0,29.54,10.0,NW,6.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,2020,12,5,11,Saturday
2,33.904369,-117.460419,Riverside,Riverside,CA,US/Pacific,78.0,37.0,28.91,10.0,W,13.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,5,31,17,Tuesday
2,35.856171,-78.641243,Raleigh,Wake,NC,US/Eastern,70.0,26.0,29.56,10.0,SW,17.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,2021,2,24,17,Wednesday
3,34.311085,-81.574554,Newberry,Newberry,SC,US/Eastern,89.6,59.0,30.09,10.0,WSW,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,8,17,11,Thursday
2,38.067135,-84.525612,Lexington,Fayette,KY,US/Eastern,57.0,89.0,29.71,10.0,SW,18.4,Light Rain,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,2018,1,3,8,Wednesday
2,41.264469,-97.121361,David City,Butler,NE,US/Central,37.0,82.0,30.2,10.0,NW,12.7,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2018,3,27,8,Tuesday
3,35.238625,-80.919121,Charlotte,Mecklenburg,NC,US/Eastern,79.0,72.0,29.22,10.0,SSE,12.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,5,26,20,Thursday
2,35.58992,-97.638451,Oklahoma City,Oklahoma,OK,US/Central,34.0,82.0,28.87,10.0,N,10.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,11,13,8,Friday
3,42.914143,-83.611458,Grand Blanc,Genesee,MI,US/Eastern,80.1,36.0,30.07,10.0,NE,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2018,10,7,10,Sunday
2,26.229761,-80.181114,Pompano Beach,Broward,FL,US/Eastern,85.0,74.0,30.08,10.0,E,13.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2022,5,8,20,Sunday
3,42.959751,-70.856804,Hampton,Rockingham,NH,US/Eastern,53.0,98.0,29.64,2.0,NW,5.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2019,10,23,9,Wednesday
2,40.182503,-75.090187,Hatboro,Montgomery,PA,US/Eastern,89.1,42.0,29.88,10.0,West,12.7,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,2017,5,19,17,Friday
2,33.887161,-79.81469,Lake City,Florence,SC,US/Eastern,64.0,94.0,30.06,7.0,WNW,7.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,6,16,19,Tuesday
